"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|PL","Without Sequence","182.71","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|PL","Without Sequence","189.11","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|PL","Without Sequence","183.30","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|PL","Without Sequence","177.51","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|PL","Without Sequence","189.11","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|PL","Without Sequence","185.49","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|PL","Without Sequence","182.18","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|PL","Without Sequence","187.17","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|PL","Without Sequence","172.79","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|PL","Without Sequence","143.18","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|PL","Without Sequence","133.54","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|PL","Without Sequence","116.06","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|PL","Without Sequence","133.76","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|PL","Without Sequence","129.97","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|PL","Without Sequence","128.58","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|PL","Without Sequence","134.20","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|PL","Without Sequence","128.07","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|PL","Without Sequence","135.17","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|PL","Without Sequence","152.39","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|PL","Without Sequence","195.11","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|PL","Without Sequence","195.05","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|PL","Without Sequence","196.15","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|PL","Without Sequence","194.83","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|PL","Without Sequence","195.45","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|PL","Without Sequence","195.11","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|PL","Without Sequence","195.81","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|PL","Without Sequence","196.02","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|PL","Without Sequence","196.78","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|PL","Without Sequence","199.06","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|PL","Without Sequence","199.94","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|PL","Without Sequence","198.41","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|PL","Without Sequence","199.47","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|PL","Without Sequence","195.04","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|PL","Without Sequence","166.65","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|PL","Without Sequence","159.56","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|PL","Without Sequence","126.84","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|PL","Without Sequence","121.42","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|PL","Without Sequence","115.03","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|PL","Without Sequence","96.09","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|PL","Without Sequence","92.42","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|PL","Without Sequence","92.38","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|PL","Without Sequence","107.36","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|PL","Without Sequence","128.05","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|PL","Without Sequence","138.27","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|PL","Without Sequence","149.90","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|PL","Without Sequence","145.89","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|PL","Without Sequence","148.86","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|PL","Without Sequence","142.71","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|PL","Without Sequence","147.62","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|PL","Without Sequence","147.61","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|PL","Without Sequence","148.92","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|PL","Without Sequence","153.38","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|PL","Without Sequence","158.86","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|PL","Without Sequence","159.85","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|PL","Without Sequence","156.72","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|PL","Without Sequence","160.65","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|PL","Without Sequence","157.62","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|PL","Without Sequence","140.56","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|PL","Without Sequence","138.14","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|PL","Without Sequence","127.77","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|PL","Without Sequence","102.08","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|PL","Without Sequence","99.79","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|PL","Without Sequence","99.44","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|PL","Without Sequence","98.11","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|PL","Without Sequence","97.83","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|PL","Without Sequence","103.09","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|PL","Without Sequence","125.05","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|PL","Without Sequence","138.68","",""
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","BZN|PL","Without Sequence","140.56","",""
"12/01/2023 08:00:00 - 12/01/2023 09:00:00","BZN|PL","Without Sequence","135.83","",""
"12/01/2023 09:00:00 - 12/01/2023 10:00:00","BZN|PL","Without Sequence","113.08","",""
"12/01/2023 10:00:00 - 12/01/2023 11:00:00","BZN|PL","Without Sequence","113.08","",""
"12/01/2023 11:00:00 - 12/01/2023 12:00:00","BZN|PL","Without Sequence","113.08","",""
