"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|SE4","Without Sequence","27.45","",""
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|SE4","Without Sequence","27.08","",""
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|SE4","Without Sequence","27.14","",""
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|SE4","Without Sequence","27.79","",""
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|SE4","Without Sequence","29.81","",""
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|SE4","Without Sequence","35.78","",""
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|SE4","Without Sequence","53.64","",""
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|SE4","Without Sequence","60.00","",""
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|SE4","Without Sequence","60.12","",""
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|SE4","Without Sequence","61.18","",""
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|SE4","Without Sequence","62.46","",""
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|SE4","Without Sequence","61.48","",""
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|SE4","Without Sequence","62.29","",""
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|SE4","Without Sequence","62.04","",""
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|SE4","Without Sequence","62.51","",""
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|SE4","Without Sequence","64.26","",""
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|SE4","Without Sequence","65.60","",""
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|SE4","Without Sequence","60.13","",""
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|SE4","Without Sequence","54.66","",""
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|SE4","Without Sequence","40.78","",""
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|SE4","Without Sequence","39.60","",""
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|SE4","Without Sequence","32.06","",""
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|SE4","Without Sequence","29.21","",""
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|SE4","Without Sequence","29.83","",""
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|SE4","Without Sequence","28.72","",""
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|SE4","Without Sequence","28.11","",""
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|SE4","Without Sequence","27.98","",""
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|SE4","Without Sequence","28.16","",""
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|SE4","Without Sequence","29.00","",""
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|SE4","Without Sequence","30.72","",""
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|SE4","Without Sequence","35.54","",""
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|SE4","Without Sequence","39.18","",""
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|SE4","Without Sequence","41.88","",""
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|SE4","Without Sequence","46.07","",""
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|SE4","Without Sequence","45.27","",""
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|SE4","Without Sequence","46.21","",""
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|SE4","Without Sequence","47.35","",""
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|SE4","Without Sequence","51.31","",""
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|SE4","Without Sequence","54.90","",""
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|SE4","Without Sequence","58.40","",""
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|SE4","Without Sequence","59.93","",""
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|SE4","Without Sequence","55.67","",""
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|SE4","Without Sequence","50.25","",""
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|SE4","Without Sequence","39.84","",""
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|SE4","Without Sequence","39.93","",""
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|SE4","Without Sequence","38.70","",""
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|SE4","Without Sequence","32.50","",""
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|SE4","Without Sequence","43.08","",""
